xid,0.001,0.005,0.01,0.02,ead
344,142.843,142.843,142.843,142.843,37.139
345,47.753,47.753,28.652,0.0,0.573
346,60.259,60.259,60.259,17.234,5.126
347,99.538,99.538,99.538,27.174,8.151
348,71.61,71.61,71.61,71.61,18.619
349,83.333,83.333,83.333,9.25,3.516
350,69.009,69.009,69.009,69.009,17.942
351,139.766,139.766,139.766,83.859,22.642
352,90.471,90.471,90.471,81.424,21.306
353,138.434,138.434,138.434,0.0,2.077
354,139.617,139.617,139.617,18.569,6.644
355,91.314,91.314,91.314,0.0,1.37
356,94.454,94.454,94.454,28.336,8.359
357,77.319,77.319,77.319,60.154,15.898
358,131.112,131.112,131.112,9.309,4.247
359,32.82,32.82,32.82,0.0,0.492
360,162.115,162.115,162.115,66.791,18.796
361,93.883,93.883,84.494,9.388,3.638
362,184.43,184.43,138.322,0.0,2.421
363,140.161,140.161,130.77,84.097,22.636
364,85.969,85.969,76.427,0.0,1.218
365,250.743,250.743,232.188,9.278,5.895
366,68.684,68.684,68.684,17.171,5.237
367,134.27,134.27,98.42,0.0,1.745
368,67.281,67.281,67.281,0.0,1.009
369,101.436,101.436,101.436,9.231,3.783
370,92.299,92.299,92.299,73.839,19.475
371,75.993,75.993,75.993,47.495,12.776
372,92.974,92.974,92.974,83.677,21.895
373,93.319,93.319,83.987,37.328,10.475
374,99.643,99.643,99.643,45.238,12.578
375,98.854,98.854,98.854,35.983,10.299
376,159.081,159.081,159.081,65.541,18.444
377,150.17,150.17,150.17,37.542,11.45
378,60.55,60.55,34.574,8.659,2.835
379,199.247,199.247,142.263,56.985,16.523
380,139.749,139.749,102.436,0.0,1.816
381,134.774,134.774,134.774,134.774,35.041
382,47.572,47.572,47.572,19.029,5.376
383,134.241,134.241,134.241,0.0,2.014
384,75.852,75.852,75.852,75.852,19.722
385,60.723,60.723,43.356,0.0,0.781
386,76.26,76.26,0.0,0.0,0.572
387,94.534,94.534,75.627,18.907,5.908
388,105.043,105.043,9.559,0.0,0.86
389,36.16,36.16,36.16,0.0,0.542
390,14.933,14.933,14.933,14.933,3.883
391,107.096,107.096,107.096,89.211,23.463
392,52.698,52.698,52.698,8.801,2.947
393,9.813,9.813,9.813,4.906,1.349
394,107.204,107.204,107.204,89.301,23.487
395,126.705,117.633,108.561,63.353,17.246
396,37.868,9.467,0.0,0.0,0.16
397,88.732,35.532,8.883,0.0,0.499
398,58.667,58.667,58.667,0.0,0.88
399,255.348,236.452,160.869,103.926,28.501
400,243.976,243.976,197.133,37.572,12.513
401,328.751,253.687,178.624,18.766,8.075
402,64.074,18.336,0.0,0.0,0.28
403,347.439,300.535,263.012,28.143,11.268
