xid,0.001,0.005,0.01,0.02,ead
141,2943259.3,2916769.9663,1048683.2886,311396.8339,106115.9029
142,9510860.7,8804203.75,4827712.8913,1010053.4063,351910.7623
143,4100047.8,4078317.5467,1825341.2806,49200.5736,56399.4888
144,407188.7677,407638.7,363954.3601,5071.9646,7028.1732
145,5452765.0,5448402.788,5379152.6725,4017051.9755,1065398.0319
146,3911054.4812,3960561.5,3798178.4785,2721301.8066,724754.783
147,3424167.08,3439300.0,3439300.0,1804256.78,493585.1207
148,3546400.0,3542144.32,3542144.32,3408445.04,888214.4986
149,1152240.4,1122627.8217,1122627.8217,1122627.8217,291975.7729
150,3087522.66,3078224.76,3078224.76,3078224.76,800367.4935
151,10617447.4453,10494510.8307,10449612.241,10404713.6513,2706619.9445
152,2355900.0,2355900.0,2355900.0,2355900.0,612534.0
153,3586060.4,3644000.0,3644000.0,3644000.0,947258.9388
154,8998200.0,8947810.08,8947810.08,8777744.1,2284921.9242
155,11778452.4809,11810340.4,11810340.4,11810340.4,3070588.8543
156,6326776.0,6279957.8576,6279957.8576,6279957.8576,1632935.3497
157,2976740.4,2958879.9576,2958879.9576,2958879.9576,769364.6029
158,4711910.72,4764800.0,4764800.0,4764800.0,1238682.721
159,4570258.7,4578500.0,4578500.0,4578500.0,1190384.2459
160,3445460.9,3400325.3622,3400325.3622,3400325.3622,884225.6427
161,2923882.5,2866282.0147,2866282.0147,2866282.0147,745413.3253
162,1248551.6654,1291827.9,1291827.9,1291827.9,335740.0158
163,15582540.5,9081504.6034,9081504.6034,9081504.6034,2381506.9341
164,6609245.15,6441084.45,5692305.9,1385670.65,431015.2391
165,11070731.1,9812138.05,8098096.5,1499647.5,505673.4999
166,15778000.0,15689643.2,15052212.0,6702494.4,1872951.157
167,4568657.1,4593000.0,4254036.6,959018.4,301236.2109
168,5034916.48,4068912.0,2769493.76,412948.48,155479.1848
169,3112000.0,3024864.0,2624349.6,1429964.0,392982.582
170,2280000.0,2280000.0,2101020.0,888060.0,250432.35
171,6334107.0588,2991427.77,5065484.3572,2834458.2268,765314.9793
172,13852825.5958,10071558.9886,11416797.2465,6402916.9797,1741693.7899
173,17874563.0242,15679506.0806,14168094.818,9426919.6351,2540311.8703
174,67609.68,66792.48,66125.1,63673.5,16599.4431
